"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/chamokh/posts/10231465685445700","“মাম্মা, ধুকধুক, হার্ট“
অফিস থেকে ফিরে যখন বহ্নির কাছ থেকে এই গল্প শুনলাম, আমিও আবেগে আপ্লুত হয়ে গিয়েছিলাম| কিছু কিছু গল্প, কিছু কিছু অনুভূতি শুধুই মায়েদের...","6588","99","56"
,"https://www.facebook.com/chamokh/posts/10231442381103106","শুভ জন্মদিন 💚💚🎉🎉","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231438935336964","Happy Birthday 🎂 🎉","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231435979303065","Happy Birthday!🎈🎂","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231435671015358","Happy Birthday 🎂🎉🎉","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231435110241339","Happy Birthday 🎂!!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231434662430144","Happy Birthday🎂🎁","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231433284395694","Happy Birthday 🥳🥳🥳","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231432777063011","Happy birthday enjoy your day.","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231430293720929","শুভ জন্মদিন! 🙂","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231430148237292","শুভ জন্মদিন, ভাই❣","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231429947512274","Happy Landing Day, Dear!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428914326445","Happy birthday 🎉🎊","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428508996312","Happy Birthday 🎊🎈🎁","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428497396022","জন্মদিনের অনেক অনেক শুভেচ্ছা ভাইয়া","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428486635753","শুভ জন্মদিন চমক","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428334711955","Happy Birthday!🎂🎉","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428287190767","Happy birthday 🎂🎂...wish u have a nice day with friends and family","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428166707755","Happy Birthday, Dear Chamok!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231428150547351","Happy Birthday 🎊🎉🎂","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231427886500750","Belated Happy Birthday :)","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231427668095290","Happy Birthday🎊🎉🎂","0","0","0"
,"https://www.facebook.com/chamokh/posts/10231427454689955","Happy B Day!!!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231427411328871","শুভ জন্মদিন ভাই...","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231426972837909","Many many happy returns of the day ! Stay happy, smiley and blessed 💕🎊🥳🎂🎉🎈🎁","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231426835394473","🥳 Happy Birthday vaia","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231426808953812","Happy Birthday, Chamok. Stay blessed, my brother.","4","0","0"
,"https://www.facebook.com/chamokh/posts/10231425922971663","Happy Birthday, Chamok!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425900731107","Happy Birthday, Chamok!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425790448350","Happy Birthday 🎈🎁","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425640404599","Happy Birthday Bhaiya 🥳","3","0","0"
,"https://www.facebook.com/chamokh/posts/10231425580403099","Happy Birthday dear Chamok. Keep shining and stay blessed always.","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425508761308","Happy birthday","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425206153743","Happy Birthday, Chamok!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231425018469051","Happy Birthday!!❤️ vai","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424895545978","Happy Birthday! 🎉🎂🎈
শুভ জন্মদিন চমক আব্বুসোনা","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424689900837","Happy Birthday, Chamok!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424663820185","Happy Birthday Chamok Bhaia💙","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424646739758","Happy Returns Of the Day 💙 Bondhu","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424628099292","Happy Birthday 🎊🎊","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424562257646","Happy Birthday 🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424536336998","Happy birthday bhai!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231424343172169","Happy birthday and best wishes","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424291850886","Happy Birthday!! 🎉Chamok! Wishing you more successful years!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424262210145","Happy Birthday! 🎂🎉🎈","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231424163567679","Suvo jonmodin mama!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423925801735","Happy Birthday Chamok 🎉🎈🎁","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423897681032","Happy birthday, Chamok! 🎉","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423714996465","Happy birthday Chamok vai!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423693235921","Happy birthday Chamok!","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231423537592030","শুভ জন্মদিন ভাইয়া ❤️❤️।","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423369827836","Happy birthday 🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423312746409","Happy birthday vaiya💟💟","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231423038099543","শুভ জন্মদিন চমক","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422740852112","Happy Birthday!!🎉🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422398443552","জন্মদিনের শুভেচ্ছা চমক। ভালো থাকবেন, খুব ভালো। চিয়ার্স :)","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422350482353","Happy Birthday!!! ❤️🌹🌹","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422322641657","Happy Birthday Vai 🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422211038867","Happy Birthday ভাইয়া!!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422137077018","শুভ জন্মদিন","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231422114356450","শুভ জন্মদিন ভাই, 
সুস্থ থাকুন সুন্দর থাকুন আরও অনেক চমক দেখার প্রত্যাশা।","1","0","0"
